"","date","time_rel_sunrise","ID","UST","does_it_match","Lat","Lon"
"136","20220513",-988.647303514997,"DgTbO","153",0,17.980471,-67.164934
"137","20220513",-981.188829748,"DgTbO","8",1,17.980471,-67.164934
"138","20220513",-974.078882792997,"DgTbO","33",0,17.980471,-67.164934
"139","20220513",-968.206206630999,"DgTbO","33",0,17.980471,-67.164934
"140","20220513",-962.838893732998,"DgTbO","20",0,17.980471,-67.164934
"141","20220513",-957.001069639999,"DgTbO","10",1,17.980471,-67.164934
"142","20220513",-948.836829692998,"DgTbO","7",0,17.980471,-67.164934
"143","20220513",-942.371651849997,"DgTbO","20",0,17.980471,-67.164934
"144","20220513",-936.176587774997,"DgTbO","1",0,17.980471,-67.164934
"145","20220513",-930.730856344999,"DgTbO","8",1,17.980471,-67.164934
"146","20220513",-924.518366541997,"DgTbO","8",1,17.980471,-67.164934
"147","20220513",-917.068605944998,"DgTbO","153",0,17.980471,-67.164934
"148","20220513",-909.758256072997,"DgTbO","10",1,17.980471,-67.164934
"149","20220513",-901.663721487999,"DgTbO","20",0,17.980471,-67.164934
"150","20220513",-895.616772387999,"DgTbO","33",0,17.980471,-67.164934
"151","20220513",-887.426392316996,"DgTbO","33",0,17.980471,-67.164934
"152","20220513",-876.151550576997,"DgTbO","33",0,17.980471,-67.164934
"153","20220513",-865.346897490999,"DgTbO","10",0,17.980471,-67.164934
"154","20220513",-848.426244703998,"DgTbO","10",1,17.980471,-67.164934
"155","20220513",-837.831029633999,"DgTbO","10",1,17.980471,-67.164934
"156","20220513",-828.882604359998,"DgTbO","153",0,17.980471,-67.164934
"157","20220513",-821.127882802997,"DgTbO","7",0,17.980471,-67.164934
"158","20220513",-811.717659504997,"DgTbO","20",0,17.980471,-67.164934
"159","20220513",-803.666690157999,"DgTbO","1",0,17.980471,-67.164934
"160","20220513",-796.408619307997,"DgTbO","20",0,17.980471,-67.164934
"161","20220513",-788.54062715,"DgTbO","33",0,17.980471,-67.164934
"162","20220513",-780.045286118999,"DgTbO","153",0,17.980471,-67.164934
"163","20220513",-767.960119542,"DgTbO","153",0,17.980471,-67.164934
"164","20220513",-757.486888854997,"DgTbO","153",0,17.980471,-67.164934
"165","20220513",-746.548833738998,"DgTbO","15",0,17.980471,-67.164934
"166","20220513",-738.344044738998,"DgTbO","153",0,17.980471,-67.164934
"167","20220513",-725.84897635,"DgTbO","1",0,17.980471,-67.164934
"168","20220513",-714.722632465997,"DgTbO","33",0,17.980471,-67.164934
"169","20220513",-705.624466095,"DgTbO","20",0,17.980471,-67.164934
"170","20220513",-697.052323733998,"DgTbO","8",1,17.980471,-67.164934
"171","20220513",-685.986597468,"DgTbO","33",0,17.980471,-67.164934
"172","20220513",-677.604527649997,"DgTbO","33",0,17.980471,-67.164934
"173","20220513",-668.856505293999,"DgTbO","8",0,17.980471,-67.164934
"174","20220513",-656.980454190998,"DgTbO","8",0,17.980471,-67.164934
"175","20220513",-644.607757405,"DgTbO","20",0,17.980471,-67.164934
"176","20220513",-637.358399724999,"DgTbO","33",0,17.980471,-67.164934
"177","20220513",-631.145909921997,"DgTbO","153",0,17.980471,-67.164934
"178","20220513",-622.005794289998,"DgTbO","1",0,17.980471,-67.164934
"179","20220513",-612.934403920997,"DgTbO","33",0,17.980471,-67.164934
"180","20220513",-605.189376245999,"DgTbO","20",0,17.980471,-67.164934
"181","20220513",-599.098870213998,"DgTbO","153",0,17.980471,-67.164934
"182","20220513",-589.714785813998,"DgTbO","33",0,17.980471,-67.164934
"183","20220513",-582.456715575998,"DgTbO","153",0,17.980471,-67.164934
"184","20220513",-574.248909164999,"DgTbO","1",0,17.980471,-67.164934
"185","20220513",-565.387615593998,"DgTbO","20",1,17.980471,-67.164934
"186","20220513",-557.711307766996,"DgTbO","153",0,17.980471,-67.164934
"187","20220513",-549.573206718,"DgTbO","33",0,17.980471,-67.164934
"188","20220513",-541.356687747997,"DgTbO","1",1,17.980471,-67.164934
"189","20220513",-531.42367362,"DgTbO","20",1,17.980471,-67.164934
"190","20220513",-522.405542370998,"DgTbO","33",0,17.980471,-67.164934
"191","20220513",-514.032186336997,"DgTbO","10",0,17.980471,-67.164934
"192","20220513",-505.301589708,"DgTbO","7",0,17.980471,-67.164934
"193","20220513",-496.440296137,"DgTbO","1",0,17.980471,-67.164934
"194","20220513",-487.239188313,"DgTbO","20",0,17.980471,-67.164934
"195","20220513",-478.142638531997,"DgTbO","153",0,17.980471,-67.164934
"196","20220513",-468.846697769,"DgTbO","153",0,17.980471,-67.164934
"197","20220513",-459.296051810998,"DgTbO","8",0,17.980471,-67.164934
"198","20220513",-449.040650993997,"DgTbO","33",0,17.980471,-67.164934
"199","20220513",-440.963542137,"DgTbO","8",0,17.980471,-67.164934
"200","20220513",-429.697413566999,"DgTbO","8",0,17.980471,-67.164934
"201","20220513",-414.763039693,"DgTbO","10",1,17.980471,-67.164934
"202","20220513",-398.713380633999,"DgTbO","33",0,17.980471,-67.164934
"203","20220513",-383.142945940999,"DgTbO","25",0,17.980471,-67.164934
"204","20220513",-362.937104654997,"DgTbO","25",0,17.980471,-67.164934
"205","20220513",-348.551660509998,"DgTbO","25",0,17.980471,-67.164934
"206","20220513",-330.471832773997,"DgTbO","25",0,17.980471,-67.164934
"207","20220513",-6.68172587799927,"DgTbO","25",0,17.980532,-67.164935
