date,ID,time_rel_sunrise,UST
2022-05-13,TbTbLg,-604.3803833,5
2022-05-13,DgTbO,-599.0988702,153
2022-05-13,TbTbLg,-597.3343167,21
2022-05-13,DgTbO,-589.7147858,33
2022-05-13,TbTbLg,-589.1432879,13
2022-05-13,DgTbO,-582.4567156,153
2022-05-13,TbTbLg,-581.0694578,10
2022-05-13,RRO,-580.4549828,13
2022-05-13,YKY,-578.7418343,21
2022-05-13,DgTbO,-574.2489092,1
2022-05-13,TbTbLg,-573.2063785,1
2022-05-13,LbOW,-571.0224604,NA
2022-05-13,TbTbLg,-566.194064,20
2022-05-13,DgTbO,-565.3876156,20
2022-05-13,TbTbLg,-559.0622512,1
2022-05-13,DgTbO,-557.7113078,153
2022-05-13,TbTbLg,-551.6410566,18
2022-05-13,RRO,-550.562033,30
2022-05-13,DgTbO,-549.5732067,33
2022-05-13,LbOW,-547.1759505,NA
2022-05-13,TbTbLg,-542.2289507,1
2022-05-13,DgTbO,-541.3566877,1
2022-05-13,TbTbLg,-532.708314,20
2022-05-13,DgTbO,-531.4236736,20
2022-05-13,RRO,-531.0960535,29
2022-05-13,DgTbO,-522.4055424,33
2022-05-13,TbTbLg,-521.8666799,1
2022-05-13,TbTbLg,-515.2066518,3
2022-05-13,DgTbO,-514.0321863,10
2022-05-13,RRO,-511.061111,13
2022-05-13,TbTbLg,-507.5401495,13
2022-05-13,YKY,-505.7286913,35
2022-05-13,DgTbO,-505.3015897,7
2022-05-13,LbOW,-499.7155099,13
2022-05-13,DgTbO,-496.4402961,1
2022-05-13,TbTbLg,-495.7785352,5
2022-05-13,TbTbLg,-487.7597465,21
2022-05-13,DgTbO,-487.2391883,20
2022-05-13,DgTbO,-478.1426385,153
2022-05-13,LbOW,-473.6981947,8
2022-05-13,DgTbO,-468.8466978,153
2022-05-13,YKY,-466.4928143,35
2022-05-13,LbOW,-460.4666415,9
2022-05-13,DgTbO,-459.2960518,8
2022-05-13,TbTbLg,-457.6158051,8
2022-05-13,LbOW,-452.4036641,3
2022-05-13,DgTbO,-449.040651,33
2022-05-13,TbTbLg,-448.8091564,60
2022-05-13,YKY,-446.8936223,167
2022-05-13,LbOW,-445.2516482,NA
2022-05-13,DgTbO,-440.9635421,8
2022-05-13,TbTbLg,-439.8546613,9
2022-05-13,LbOW,-437.9833387,9
2022-05-13,LbOW,-430.4889038,29
2022-05-13,DgTbO,-429.6974136,8
2022-05-13,LbOW,-424.1315591,21
2022-05-13,TbTbLg,-421.9048036,NA
2022-05-13,TbTbLg,-416.8724329,16
2022-05-13,LbOW,-415.8036934,10
2022-05-13,DgTbO,-414.7630397,10
2022-05-13,TbTbLg,-407.3282069,5
2022-05-13,LbOW,-407.2820041,29
2022-05-13,LbOW,-399.9749619,13
2022-05-13,RRO,-399.1758255,97
2022-05-13,TbTbLg,-399.1521567,13
2022-05-13,DgTbO,-398.7133806,33
2022-05-13,LbOW,-390.6973374,29
2022-05-13,TbTbLg,-390.447728,21
2022-05-13,DgTbO,-383.1429459,25
2022-05-13,TbTbLg,-381.0293113,18
2022-05-13,LbOW,-376.2834738,21
2022-05-13,TbTbLg,-371.4284915,1
2022-05-13,LbOW,-368.0674908,3
2022-05-13,DgTbO,-362.9371047,25
2022-05-13,TbTbLg,-361.5147008,20
2022-05-13,LbOW,-353.6228384,9
2022-05-13,TbTbLg,-352.3636288,9
2022-05-13,YKY,-350.2313413,35
2022-05-13,DgTbO,-348.5516605,25
2022-05-13,LbOW,-342.8621773,8
2022-05-13,TbTbLg,-339.2926306,18
2022-05-13,LbOW,-330.6126504,3
2022-05-13,DgTbO,-330.4718328,25
2022-05-13,RRO,-329.3446542,97
2022-05-13,TbTbLg,-329.2005495,1
2022-05-13,DgTbO,-326.0716851,NA
2022-05-13,LbOW,-321.1347749,9
2022-05-13,TbTbLg,-319.7664066,18
2022-05-13,YKY,-317.8707013,35
2022-05-13,RRO,-317.5860947,12
2022-05-13,TbTbLg,-311.4158165,1
2022-05-13,TbTbLg,-304.0260742,20
2022-05-13,RRO,-303.9394958,10
2022-05-13,TbTbLg,-297.6333908,3
2022-05-13,YKY,-295.5859643,35
2022-05-13,TbTbLg,-290.29869,8
2022-05-13,LbOW,-281.9182144,NA
2022-05-13,TbTbLg,-281.0123935,60
2022-05-13,RRO,-278.1323727,12
2022-05-13,TbTbLg,-273.4339373,9
2022-05-13,TbTbLg,-263.982516,3
2022-05-13,YKY,-262.5660063,35
2022-05-13,RRO,-262.2179452,12
2022-05-13,TbTbLg,-255.130241,9
2022-05-13,TbTbLg,-244.390827,60
2022-05-13,TbTbLg,-232.8714159,8
2022-05-13,LbOW,-229.6897598,20
2022-05-13,YKY,-228.6748243,167
2022-05-13,TbTbLg,-221.1255277,3
2022-05-13,LbOW,-212.4202581,20
2022-05-13,RRO,-205.4024804,12
2022-05-13,TbTbLg,-192.939493,NA
2022-05-13,RRO,-190.1471639,10
2022-05-13,YKY,-188.5606893,35
2022-05-13,LbOW,-163.6224511,20
2022-05-13,RRO,-158.970482,10
2022-05-13,YKY,-145.8008123,30
2022-05-13,LbOW,-140.3121775,20
2022-05-13,RRO,-138.2688278,12
2022-05-13,RRO,-124.4018021,12
2022-05-13,YKY,-122.6544223,167
2022-05-13,LbOW,-106.5872245,20
2022-05-13,RRO,-106.5447319,12
2022-05-13,YKY,-97.84662527,35
2022-05-13,RRO,-94.89024251,12
2022-05-13,RRO,-76.00771405,10
2022-05-13,YKY,-74.04160327,167
2022-05-13,LbOW,-72.17743384,NA
2022-05-13,TbTbLg,-68.6116,NA
2022-05-13,TbTbLg,-68.6116,NA
2022-05-13,TbTbLg,-68.21095444,NA
2022-05-13,RRO,-59.1552824,5
2022-05-13,LbOW,-50.03698255,NA
2022-05-13,LbOW,-50.03698255,NA
2022-05-13,YKY,-49.99511527,35
2022-05-13,LbOW,-49.38402681,NA
2022-05-13,RRO,-41.75055004,5
2022-05-13,RRO,-26.90457613,10
2022-05-13,YKY,-21.16410027,30
2022-05-13,RRO,-7.250561379,12
2022-05-13,DgTbO,-6.681725878,25
2022-05-13,YKY,1.570402733,167
2022-05-13,RRO,5.347497339,12
2022-05-13,DgTbO,6.936959282,25
2022-05-13,YKY,15.59866973,30
2022-05-13,DgTbO,20.78219586,25
2022-05-13,RRO,20.83870617,5
2022-05-13,DgTbO,32.11803041,25
2022-05-13,DgTbO,45.55374799,25
2022-05-13,DgTbO,61.50751434,25
2022-05-13,YKY,74.76059573,167
2022-05-13,DgTbO,76.206632,25
2022-05-13,RRO,94.08201114,31
2022-05-13,YKY,95.09171873,35
2022-05-13,DgTbO,103.0170605,25
2022-05-13,DgTbO,120.8616326,25
2022-05-13,YKY,121.1767787,35
2022-05-13,RRO,121.3803544,31
2022-05-13,TbTbLg,124.7828059,NA
2022-05-13,RRO,139.1819205,31
2022-05-13,DgTbO,161.8353139,25
2022-05-13,YKY,188.3071417,30
2022-05-13,YKY,214.7852067,36
2022-05-13,YKY,226.1610197,167
2022-05-13,YKY,237.3413327,9
2022-05-13,YKY,256.2723817,30
2022-05-13,YKY,262.0407347,36
2022-05-13,YKY,278.3231327,167
2022-05-13,RRO,287.1512247,31
2022-05-13,YKY,300.5808257,167
2022-05-13,YKY,318.8442947,35
2022-05-13,DgTbO,340.1503373,25
2022-05-13,YKY,341.6076237,30
2022-05-13,DgTbO,355.0324321,25
2022-05-13,RRO,368.4377215,31
2022-05-13,DgTbO,371.635376,25
2022-05-13,DgTbO,389.924336,25
2022-05-13,YKY,394.2123287,30
2022-05-13,DgTbO,405.2856668,25
2022-05-13,YKY,407.9472467,167
2022-05-13,DgTbO,427.0163128,25
2022-05-13,DgTbO,446.7429298,25
2022-05-13,YKY,448.6632127,35
2022-05-13,RRO,448.9054489,12
2022-05-13,YKY,468.4721127,168
2022-05-13,RRO,473.940038,12
2022-05-13,YKY,474.8818607,167
2022-05-13,DgTbO,486.0044745,25
2022-05-13,YKY,486.4648787,NA
2022-05-13,YKY,487.1311287,NA
2022-05-13,YKY,487.1311287,NA
2022-05-13,RRO,504.2182568,NA
2022-05-13,DgTbO,510.9241464,25
2022-05-13,RRO,511.1618374,12
2022-05-13,DgTbO,534.3102993,25
2022-05-13,RRO,535.358456,12
2022-05-13,DgTbO,550.7259115,25
2022-05-13,RRO,556.3311181,30
2022-05-13,DgTbO,570.5048075,25
2022-05-13,RRO,577.7876482,30
2022-05-13,DgTbO,595.3721949,25
2022-05-13,DgTbO,614.6195874,25
2022-05-13,DgTbO,632.9825925,25
2022-05-13,DgTbO,657.2139185,25
2022-05-13,DgTbO,681.680507,25
2022-05-13,RRO,702.532742,31
2022-05-13,DgTbO,703.7507944,31
2022-05-13,DgTbO,726.8665745,25
2022-05-13,DgTbO,747.0815641,25
2022-05-13,DgTbO,747.9233172,NA
2022-05-13,DgTbO,747.9233172,NA
2022-05-13,RRO,786.511043,31
2022-05-13,RRO,839.4688006,31
2022-05-13,RRO,976.1033368,29
2022-05-13,RRO,976.5506331,NA
2022-05-13,RRO,976.5506331,NA
2022-05-13,YKY,2157.131129,NA
2022-05-13,RRO,2174.550633,NA
2022-05-13,TbTbLg,2188.3884,NA
2022-05-13,LbOW,2233.963017,NA
2022-05-13,DgTbO,2255.923317,NA
2022-05-14,TbTbLg,-2957.183038,NA
2022-05-14,TbTbLg,-2957.183038,NA
2022-05-14,DgTbO,-2820,NA
2022-05-14,LbOW,-2820,NA
2022-05-14,RRO,-2820,NA
2022-05-14,TbTbLg,-2820,NA
2022-05-14,YKY,-2820,NA
2022-05-14,DgTbO,-2360.812913,33
2022-05-14,TbTbLg,-2360.483638,NA
2022-05-14,DgTbO,-2349.961536,1
2022-05-14,TbTbLg,-2349.145554,NA
2022-05-14,DgTbO,-2323.222403,11
2022-05-14,TbTbLg,-2322.191627,NA
2022-05-14,DgTbO,-2305.866114,12
2022-05-14,DgTbO,-2301.145124,NA
2022-05-14,DgTbO,-2293.615195,4
2022-05-14,DgTbO,-2277.205075,32
2022-05-14,LbOW,-2276.862392,NA
2022-05-14,TbTbLg,-2276.665705,NA
2022-05-14,DgTbO,-2268.600849,11
2022-05-14,TbTbLg,-2267.788759,NA
2022-05-14,DgTbO,-2260.903372,8
2022-05-14,TbTbLg,-2260.404185,NA
2022-05-14,DgTbO,-2250.130842,33
2022-05-14,TbTbLg,-2249.683734,NA
2022-05-14,DgTbO,-2226.890564,33
2022-05-14,DgTbO,-2215.142298,20
2022-05-14,DgTbO,-2205.069539,153
2022-05-14,DgTbO,-2188.353885,33
2022-05-14,LbOW,-2173.027082,NA
2022-05-14,DgTbO,-2172.53512,7
2022-05-14,TbTbLg,-2167.670357,NA
2022-05-14,DgTbO,-2159.889965,1
2022-05-14,TbTbLg,-2159.323644,NA
2022-05-14,LbOW,-2149.625225,10
2022-05-14,TbTbLg,-2149.475776,NA
2022-05-14,DgTbO,-2149.22585,1
2022-05-14,DgTbO,-2138.660296,153
2022-05-14,LbOW,-2132.075788,10
2022-05-14,DgTbO,-2128.73537,33
2022-05-14,DgTbO,-2121.185729,7
2022-05-14,LbOW,-2121.061665,21
2022-05-14,TbTbLg,-2120.908396,NA
2022-05-14,DgTbO,-2112.699774,1
2022-05-14,TbTbLg,-2112.091138,8
2022-05-14,LbOW,-2112.010362,8
2022-05-14,DgTbO,-2103.622465,20
2022-05-14,TbTbLg,-2101.04061,NA
2022-05-14,LbOW,-2099.930074,9
2022-05-14,DgTbO,-2097.482222,8
2022-05-14,DgTbO,-2088.720301,11
2022-05-14,TbTbLg,-2088.346721,NA
2022-05-14,DgTbO,-2080.451178,32
2022-05-14,LbOW,-2076.344935,13
2022-05-14,DgTbO,-2072.329893,33
2022-05-14,DgTbO,-2064.159329,12
2022-05-14,LbOW,-2063.171706,29
2022-05-14,TbTbLg,-2060.5466,NA
2022-05-14,DgTbO,-2057.546001,11
2022-05-14,TbTbLg,-2053.976661,NA
2022-05-14,DgTbO,-2049.454284,32
2022-05-14,LbOW,-2048.860922,29
2022-05-14,DgTbO,-2042.801533,8
2022-05-14,LbOW,-2038.618545,8
2022-05-14,YKY,-2038.521702,18
2022-05-14,DgTbO,-2034.345147,4
2022-05-14,RRO,-2029.394158,98
2022-05-14,YKY,-2028.463093,1
2022-05-14,DgTbO,-2028.017641,12
2022-05-14,LbOW,-2027.443837,9
2022-05-14,DgTbO,-2020.527135,7
2022-05-14,LbOW,-2019.26688,10
2022-05-14,YKY,-2018.937673,17
2022-05-14,RRO,-2016.872418,10
2022-05-14,DgTbO,-2013.667409,11
2022-05-14,YKY,-2006.965646,3
2022-05-14,DgTbO,-2006.265608,33
2022-05-14,LbOW,-2005.607383,120
2022-05-14,TbTbLg,-2002.881691,18
2022-05-14,YKY,-2000.942737,1
2022-05-14,DgTbO,-1999.839542,32
2022-05-14,LbOW,-1998.83116,9
2022-05-14,YKY,-1995.879996,9
2022-05-14,DgTbO,-1993.472613,8
2022-05-14,RRO,-1992.17447,8
2022-05-14,YKY,-1989.759729,8
2022-05-14,LbOW,-1988.731521,120
2022-05-14,DgTbO,-1987.553756,7
2022-05-14,TbTbLg,-1982.114968,9
2022-05-14,YKY,-1981.416832,3
2022-05-14,DgTbO,-1979.398348,1
2022-05-14,LbOW,-1977.77983,17
2022-05-14,TbTbLg,-1975.787321,NA
2022-05-14,YKY,-1975.435209,17
2022-05-14,DgTbO,-1972.991994,7
2022-05-14,RRO,-1971.03015,13
2022-05-14,LbOW,-1967.55974,13
2022-05-14,YKY,-1967.056883,166
2022-05-14,TbTbLg,-1966.910692,60
2022-05-14,DgTbO,-1965.996685,20
2022-05-14,TbTbLg,-1959.399354,NA
2022-05-14,LbOW,-1955.077941,10
2022-05-14,DgTbO,-1954.748672,1
2022-05-14,YKY,-1953.513635,10
2022-05-14,TbTbLg,-1951.702243,19
2022-05-14,DgTbO,-1947.770674,33
2022-05-14,LbOW,-1946.169382,9
2022-05-14,RRO,-1944.807207,9
2022-05-14,TbTbLg,-1944.651242,19
2022-05-14,YKY,-1944.460421,19
2022-05-14,DgTbO,-1942.52732,153
2022-05-14,LbOW,-1938.866769,17
2022-05-14,YKY,-1937.474309,27
2022-05-14,RRO,-1935.705898,98
2022-05-14,DgTbO,-1933.627418,12
2022-05-14,YKY,-1930.627769,18
2022-05-14,LbOW,-1929.003562,21
2022-05-14,RRO,-1926.082878,10
2022-05-14,YKY,-1924.107917,19
2022-05-14,DgTbO,-1923.682786,7
2022-05-14,TbTbLg,-1921.644255,NA
2022-05-14,LbOW,-1917.793134,17
2022-05-14,YKY,-1917.132379,27
2022-05-14,DgTbO,-1916.211992,33
2022-05-14,YKY,-1910.759329,169
2022-05-14,TbTbLg,-1910.183038,NA
2022-05-14,TbTbLg,-1909.81422,NA
2022-05-14,LbOW,-1909.339588,29
2022-05-14,DgTbO,-1905.291624,1
2022-05-14,YKY,-1904.266136,1
2022-05-14,LbOW,-1903.143298,13
2022-05-14,YKY,-1897.022142,27
2022-05-14,DgTbO,-1896.362153,33
2022-05-14,TbTbLg,-1895.694703,62
2022-05-14,LbOW,-1895.581953,10
2022-05-14,DgTbO,-1891.404621,20
2022-05-14,YKY,-1890.969782,18
2022-05-14,LbOW,-1890.170792,21
2022-05-14,YKY,-1884.038485,1
2022-05-14,TbTbLg,-1884.036714,10
2022-05-14,LbOW,-1882.988626,9
2022-05-14,DgTbO,-1882.485007,7
2022-05-14,YKY,-1876.972714,20
2022-05-14,LbOW,-1876.564823,3
2022-05-14,DgTbO,-1875.901235,10
2022-05-14,YKY,-1870.678729,166
2022-05-14,LbOW,-1869.810911,8
2022-05-14,DgTbO,-1868.84439,8
2022-05-14,YKY,-1863.600242,9
2022-05-14,LbOW,-1862.713502,9
2022-05-14,DgTbO,-1862.507029,7
2022-05-14,YKY,-1857.311887,3
2022-05-14,TbTbLg,-1857.283025,3
2022-05-14,DgTbO,-1856.120388,8
2022-05-14,LbOW,-1855.245833,3
2022-05-14,YKY,-1852.659616,166
2022-05-14,LbOW,-1849.250291,9
2022-05-14,DgTbO,-1849.053687,33
2022-05-14,TbTbLg,-1847.619541,9
2022-05-14,YKY,-1846.84224,9
2022-05-14,DgTbO,-1842.627622,11
2022-05-14,LbOW,-1841.599724,10
2022-05-14,YKY,-1840.241663,8
2022-05-14,TbTbLg,-1838.658345,16
2022-05-14,LbOW,-1836.844338,5
2022-05-14,DgTbO,-1835.649625,33
2022-05-14,YKY,-1834.80517,5
2022-05-14,LbOW,-1830.059208,13
2022-05-14,TbTbLg,-1828.963257,13
2022-05-14,DgTbO,-1828.573069,32
2022-05-14,YKY,-1828.022716,13
2022-05-14,YKY,-1821.434586,10
2022-05-14,DgTbO,-1820.432072,10
2022-05-14,TbTbLg,-1820.251387,10
2022-05-14,LbOW,-1819.674093,10
2022-05-14,YKY,-1817.109214,21
2022-05-14,DgTbO,-1813.611769,20
2022-05-14,LbOW,-1812.862201,29
2022-05-14,YKY,-1810.695664,16
2022-05-14,DgTbO,-1808.506399,7
2022-05-14,LbOW,-1807.446627,21
2022-05-14,YKY,-1805.834228,18
2022-05-14,LbOW,-1802.4637,10
2022-05-14,DgTbO,-1802.445003,10
2022-05-14,YKY,-1800.671757,21
2022-05-14,LbOW,-1796.628759,13
2022-05-14,DgTbO,-1795.50643,153
2022-05-14,YKY,-1794.951013,10
2022-05-14,TbTbLg,-1793.560923,22
2022-05-14,RRO,-1793.1851,13
2022-05-14,LbOW,-1791.373779,21
2022-05-14,YKY,-1789.466528,20
2022-05-14,DgTbO,-1788.439729,33
2022-05-14,LbOW,-1785.859993,17
2022-05-14,TbTbLg,-1785.821714,19
2022-05-14,RRO,-1785.694617,17
2022-05-14,YKY,-1783.934807,27
2022-05-14,DgTbO,-1782.949977,7
2022-05-14,YKY,-1778.138797,9
2022-05-14,TbTbLg,-1777.812113,17
2022-05-14,DgTbO,-1776.918151,1
2022-05-14,LbOW,-1775.354432,8
2022-05-14,DgTbO,-1771.190239,20
2022-05-14,LbOW,-1770.019156,3
2022-05-14,YKY,-1769.959905,8
2022-05-14,TbTbLg,-1769.398698,8
2022-05-14,TbTbLg,-1766.719468,NA
2022-05-14,DgTbO,-1763.868908,8
2022-05-14,RRO,-1762.703151,12
2022-05-14,LbOW,-1762.16783,10
2022-05-14,TbTbLg,-1761.659491,3
2022-05-14,YKY,-1761.611141,3
2022-05-14,YKY,-1758.021965,166
2022-05-14,DgTbO,-1757.028894,33
